time_sec	time_nanosec	jac_det
1616424701	225049508	0.0168345
1616424701	234756263	0.0168164
1616424701	244900064	0.0168004
1616424701	254811647	0.0167516
1616424701	264842472	0.0167295
1616424701	274860380	0.0167083
1616424701	284970895	0.0166885
1616424701	294964053	0.0166672
1616424701	308043106	0.0166297
1616424701	316904499	0.016607
1616424701	324981561	0.0165804
1616424701	334966128	0.0165681
1616424701	344981039	0.0165378
1616424701	354814804	0.0164993
1616424701	364955213	0.0164745
1616424701	375193397	0.0164501
1616424701	384956283	0.0164249
1616424701	394979051	0.0164041
1616424701	404910098	0.0163615
1616424701	417051604	0.0163334
1616424701	424749532	0.016314
1616424701	434725870	0.0162891
1616424701	444991080	0.0162736
1616424701	454745022	0.0162289
1616424701	465013565	0.0162101
1616424701	475057257	0.0161877
1616424701	484839022	0.0161688
1616424701	495002511	0.0161472
1616424701	504763608	0.016112
1616424701	514803636	0.0160933
1616424701	525198950	0.016075
1616424701	534784139	0.0160534
1616424701	546920612	0.0160226
1616424701	554878451	0.0159753
1616424701	566913931	0.0159581
1616424701	574807522	0.0159255
1616424701	584886496	0.0159058
1616424701	594909656	0.0158862
1616424701	604942689	0.0158422
1616424701	615021871	0.0158137
1616424701	624997750	0.015789
1616424701	634927444	0.0157664
1616424701	644875690	0.0157419
1616424701	654786108	0.0157005
1616424701	664754329	0.0156774
1616424701	677583417	0.0156531
1616424701	684894915	0.0156308
1616424701	695007258	0.0156114
1616424701	705079043	0.0155646
1616424701	714955999	0.0155378
1616424701	724890056	0.0155171
1616424701	734899719	0.0154942
1616424701	744962703	0.0154819
1616424701	754834251	0.0154325
1616424701	766980834	0.0154106
1616424701	775232771	0.0153895
1616424701	784982608	0.0153721
1616424701	794927307	0.0153498
1616424701	807561551	0.0153053
1616424701	814925834	0.0152788
1616424701	824862719	0.0152545
1616424701	834820042	0.0152364
1616424701	845017778	0.0152177
1616424701	857396467	0.0151817
1616424701	864786754	0.0151614
1616424701	874999727	0.0151416
1616424701	884771388	0.0151207
1616424701	894927044	0.0151094
1616424701	907353270	0.0150822
1616424701	914846644	0.0150795
1616424701	925179465	0.0150687
1616424701	934929919	0.0150629
1616424701	944651042	0.0150549
1616424701	954745183	0.0150495
1616424701	964827394	0.0150415
1616424701	974760884	0.0150283
1616424701	984918876	0.0150241
1616424701	994838793	0.0150192
1616424702	4837735	0.0150094
1616424702	16683434	0.0150095
1616424702	24908966	0.0150011
1616424702	36679852	0.0150029
1616424702	44751661	0.0150016
1616424702	54664516	0.014996
1616424702	66574181	0.0149999
1616424702	74841087	0.0149958
1616424702	86572670	0.0150046
1616424702	96468953	0.0150029
1616424702	104681273	0.0150055
1616424702	114593083	0.0150038
1616424702	126925133	0.0150014
1616424702	134654746	0.0150007
1616424702	144822759	0.0150008
1616424702	154659934	0.0149928
1616424702	164787431	0.0149954
1616424702	174923691	0.0149879
1616424702	184734243	0.0149894
1616424702	194634948	0.0149931
1616424702	204860182	0.0149896
1616424702	214764534	0.0149822
1616424702	226378451	0.0149841
1616424702	234798402	0.0149789
1616424702	244761249	0.0149861
1616424702	254717348	0.0149856
1616424702	264914675	0.0149785
1616424702	274959221	0.0149831
1616424702	284659955	0.0149825
1616424702	294827454	0.014981
1616424702	304905575	0.0149835
1616424702	314729488	0.0149797
1616424702	324811604	0.0149817
1616424702	336706852	0.0149838
1616424702	344915955	0.0149862
1616424702	354896658	0.0149841
1616424702	366736794	0.0149822
1616424702	376801241	0.0149814
1616424702	384903011	0.0149826
1616424702	394933109	0.0149758
1616424702	406492464	0.0149776
1616424702	414743750	0.0149772
1616424702	424918230	0.0149796
1616424702	434792783	0.0149744
1616424702	444704594	0.0149762
1616424702	454786149	0.0149741
1616424702	464907083	0.0149714
1616424702	476572391	0.0149746
1616424702	484756521	0.014968
1616424702	494801735	0.0149702
1616424702	504718948	0.0149822
1616424702	516509777	0.0149769
1616424702	524899025	0.0149724
1616424702	534721677	0.0149814
1616424702	546677025	0.0149743
1616424702	554620201	0.0149805
1616424702	564837430	0.0149755
1616424702	574846995	0.0149796
1616424702	584658550	0.014973
1616424702	594672604	0.0149775
1616424702	604887780	0.0149739
1616424702	615166283	0.0149758
1616424702	624747320	0.0149685
1616424702	634829296	0.0149711
1616424702	644936962	0.0149705
1616424702	654724903	0.0149684
1616424702	664848120	0.0149759
1616424702	675005506	0.0149693
1616424702	684782897	0.0149669
1616424702	694844384	0.0149705
1616424702	704739135	0.0149724
1616424702	716673353	0.0149662
1616424702	724839808	0.0149563
1616424702	734852492	0.0149348
1616424702	747029160	0.0149667
1616424702	754701767	0.0149623
1616424702	764825100	0.0149659
1616424702	774864671	0.0149611
1616424702	784731899	0.0149614
1616424702	796060547	0.0149637
1616424702	804745202	0.0149627
1616424702	815090887	0.0149641
1616424702	824899415	0.0149631
1616424702	834809262	0.0149599
1616424702	844730074	0.0149677
1616424702	855135074	0.0149856
1616424702	864779701	0.0149586
1616424702	874538682	0.0149549
1616424702	884484316	0.0149578
1616424702	895678857	0.0149561
1616424702	905655080	0.0149686
1616424702	914487612	0.0149565
1616424702	924649321	0.0149618
1616424702	935474791	0.0149568
1616424702	944543124	0.0149661
1616424702	954370850	0.0149632
1616424702	964449294	0.0149552
1616424702	975789535	0.0149636
1616424702	984478705	0.0149604
1616424702	994540270	0.0149562
1616424703	4521547	0.014956
1616424703	14426243	0.0149628
1616424703	24372112	0.0149605
1616424703	34481907	0.014962
1616424703	44541363	0.0149568
1616424703	54420795	0.0149614
1616424703	64543048	0.014965
1616424703	74569100	0.0149591
1616424703	84437080	0.0149575
1616424703	94770144	0.0149583
1616424703	104528440	0.0149604
1616424703	114717260	0.0149575
1616424703	126368201	0.0149617
1616424703	136163808	0.0149621
1616424703	144760455	0.0149543
1616424703	154619168	0.014949
1616424703	164680247	0.0149514
1616424703	174770838	0.0149485
1616424703	184720583	0.0149346
1616424703	194692576	0.014939
1616424703	204708119	0.0149146
1616424703	214665114	0.0149301
1616424703	224788860	0.0149262
1616424703	234637088	0.014941
1616424703	246284233	0.0149424
1616424703	254812270	0.0149427
1616424703	264670697	0.0149523
1616424703	276145152	0.014965
1616424703	284716417	0.0149592
1616424703	296398607	0.0149535
1616424703	304761981	0.0149581
1616424703	314685695	0.0149575
